ticker,date,open,high,low,close
WMT,1972-03-20,0.0101447,0.0101447,0.0101447,0.0101447
WMT,1972-03-22,0.0101447,0.0126687,0.0101447,0.0101447
WMT,1972-03-23,0.0101447,0.0126687,0.0101447,0.0101447
WMT,1972-03-24,0.0101447,0.0126687,0.0101447,0.0101447
WMT,1972-03-27,0.0126687,0.0126687,0.0126687,0.0126687
WMT,1972-03-28,0.0126687,0.0126687,0.0126687,0.0126687
WMT,1972-03-29,0.0126687,0.0126687,0.0126687,0.0126687
WMT,1972-03-30,0.0126687,0.0126687,0.0126687,0.0126687
WMT,1972-04-03,0.0126687,0.0126687,0.0101447,0.0101447
WMT,1972-04-04,0.0101447,0.0126687,0.0101447,0.0101447
WMT,1972-04-05,0.0101447,0.0101447,0.0101447,0.0101447
WMT,1972-04-06,0.0101447,0.0101447,0.0101447,0.0101447
WMT,1972-04-07,0.0101447,0.0101447,0.0101447,0.0101447
WMT,1972-04-10,0.0101447,0.0101447,0.0101447,0.0101447
WMT,1972-04-11,0.0101447,0.0101447,0.0101447,0.0101447
WMT,1972-04-12,0.0101447,0.0101447,0.0101447,0.0101447
WMT,1972-04-13,0.0101447,0.0101447,0.0101447,0.0101447
WMT,1972-05-08,0.0101447,0.0101447,0.0101447,0.0101447
WMT,1972-05-11,0.0101447,0.0101447,0.0101447,0.0101447
WMT,1972-05-12,0.0101447,0.0101447,0.0101447,0.0101447
WMT,1972-05-15,0.0101447,0.0101447,0.0101447,0.0101447
WMT,1972-05-16,0.0101447,0.0101447,0.0101447,0.0101447
WMT,1972-05-17,0.0101447,0.0101447,0.0101447,0.0101447
WMT,1972-05-18,0.0101447,0.0101447,0.0101447,0.0101447
WMT,1972-05-19,0.0126687,0.0126687,0.0126687,0.0126687
WMT,1972-05-22,0.0126687,0.0126687,0.0126687,0.0126687
WMT,1972-05-23,0.0126687,0.0126687,0.0126687,0.0126687
WMT,1972-05-24,0.0126687,0.0126687,0.0126687,0.0126687
WMT,1972-05-25,0.0126687,0.0126687,0.0126687,0.0126687
WMT,1972-05-26,0.0126687,0.0126687,0.0126687,0.0126687
WMT,1972-05-30,0.0126687,0.0126687,0.0126687,0.0126687
WMT,1972-05-31,0.0126687,0.0126687,0.0126687,0.0126687
WMT,1972-06-01,0.0126687,0.0126687,0.0126687,0.0126687
WMT,1972-06-02,0.0126687,0.0126687,0.0126687,0.0126687
WMT,1972-06-05,0.0126687,0.0126687,0.0126687,0.0126687
WMT,1972-06-06,0.0126687,0.0126687,0.0126687,0.0126687
WMT,1972-06-07,0.0126687,0.0126687,0.0126687,0.0126687
WMT,1972-06-08,0.0126687,0.0126687,0.0126687,0.0126687
WMT,1972-06-09,0.0126687,0.0126687,0.0126687,0.0126687
WMT,1972-06-12,0.0126687,0.0126687,0.0126687,0.0126687
WMT,1972-06-13,0.0126687,0.0126687,0.0126687,0.0126687
WMT,1972-06-14,0.0126687,0.0126687,0.0126687,0.0126687
WMT,1972-06-15,0.0126687,0.0126687,0.0126687,0.0126687
WMT,1972-06-16,0.0126687,0.0126687,0.0126687,0.0126687
WMT,1972-06-19,0.0126687,0.0126687,0.0126687,0.0126687
WMT,1972-06-20,0.0126687,0.0126687,0.0126687,0.0126687
WMT,1972-06-21,0.0126687,0.0126687,0.0126687,0.0126687
